environment,model,parameter_size,quantization,prompt_id,condition,load_wall_s,load_server_s,answer_wall_s,server_total_s,generation_s,output_tokens,tokens_per_second,model_allocation_bytes,gpu_allocation_bytes,temperature,top_p,num_predict,done_reason
local-metal-gpu,qwen3:1.7b,2.0B,Q4_K_M,P1,baseline,3.313802083983319,,1.5814873749914113,1.577418583,1.245991,113,90.6908637381811,1636449647,1636449647,0.2,0.9,192,stop
local-metal-gpu,qwen3:1.7b,2.0B,Q4_K_M,P2,baseline,3.313802083983319,,1.6760358340106905,1.666296208,1.582539,126,79.61889090884965,1636449647,1636449647,0.2,0.9,192,stop
local-metal-gpu,qwen3:1.7b,2.0B,Q4_K_M,P3,baseline,3.313802083983319,,2.4007131250109524,2.38998575,2.30005,169,73.47666355079237,1636449647,1636449647,0.2,0.9,192,stop
local-metal-gpu,qwen3:1.7b,2.0B,Q4_K_M,P4,baseline,3.313802083983319,,0.7136763750168029,0.711621083,0.573228,53,92.45884709051198,1636449647,1636449647,0.2,0.9,192,stop
local-metal-gpu,qwen3:1.7b,2.0B,Q4_K_M,P5,baseline,3.313802083983319,,0.498560959007591,0.49584975,0.409918,36,87.82244253728794,1636449647,1636449647,0.2,0.9,192,stop
local-metal-gpu,llama3.2:1b,1.2B,Q8_0,P1,baseline,1.866654124984052,,0.40125845800503157,0.396349125,0.153906,9,58.47725234883631,1441183825,1441183825,0.2,0.9,192,stop
local-metal-gpu,llama3.2:1b,1.2B,Q8_0,P2,baseline,1.866654124984052,,1.6644599999999627,1.647785459,1.561855,126,80.67330193904044,1441183825,1441183825,0.2,0.9,192,stop
local-metal-gpu,llama3.2:1b,1.2B,Q8_0,P3,baseline,1.866654124984052,,1.849981209001271,1.846637333,1.799699,176,97.79413112970558,1441183825,1441183825,0.2,0.9,192,stop
local-metal-gpu,llama3.2:1b,1.2B,Q8_0,P4,baseline,1.866654124984052,,0.5375705409969669,0.53498525,0.465034,52,111.81978091924461,1441183825,1441183825,0.2,0.9,192,stop
local-metal-gpu,llama3.2:1b,1.2B,Q8_0,P5,baseline,1.866654124984052,,0.1517871669784654,0.149891,0.099334,11,110.73751182877966,1441183825,1441183825,0.2,0.9,192,stop
local-metal-gpu,qwen2.5-hf:0.5b,630.17M,Q4_K_M,P1,baseline,1.0428391669993289,,0.8786987499915995,0.876679333,0.715923,149,208.12294059556686,546276637,546276637,0.2,0.9,192,stop
local-metal-gpu,qwen2.5-hf:0.5b,630.17M,Q4_K_M,P2,baseline,1.0428391669993289,,0.9514553330081981,0.949534667,0.924551,192,207.66837091734257,546276637,546276637,0.2,0.9,192,length
local-metal-gpu,qwen2.5-hf:0.5b,630.17M,Q4_K_M,P3,baseline,1.0428391669993289,,0.9577014580136165,0.95588625,0.930813,185,198.75098435453737,546276637,546276637,0.2,0.9,192,stop
local-metal-gpu,qwen2.5-hf:0.5b,630.17M,Q4_K_M,P4,baseline,1.0428391669993289,,0.3159325830056332,0.31428625,0.281373,59,209.6860750676149,546276637,546276637,0.2,0.9,192,stop
local-metal-gpu,qwen2.5-hf:0.5b,630.17M,Q4_K_M,P5,baseline,1.0428391669993289,,0.44345279200933874,0.442073,0.416282,84,201.78628910209906,546276637,546276637,0.2,0.9,192,stop
